Food Name,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Phosphorus (mg),Iron (mg),Copper (mg),Zinc (mg),Chloride (mg),Manganese (mg),Selenium (µg),Iodine (µg),Retinol (µg),Carotene (µg),Retinol Equivalent (µg),Vitamin D (µg),Vitamin E (mg),Vitamin K1 (µg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Tryptophan/60 (mg),Niacin equivalent (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folate (µg),Pantothenate (mg),Biotin (µg),Vitamin C (mg)
,WATER,TOTNIT,PROT,FAT,CHO,KCALS,KJ,STAR,OLIGO,TOTSUG,GLUC,GALACT,FRUCT,SUCR,MALT,LACT,ALCO,ENGFIB,AOACFIB,SATFAC,SATFOD,TOTn6PFAC,TOTn6PFOD,TOTn3PFAC,TOTn3PFOD,MONOFACc,MONOFODc,MONOFAC,MONOFOD,POLYFACc,POLYFODc,POLYFAC,POLYFOD,SATFACx6,SATFODx6,TOTBRFAC,TOTBRFOD,FACTRANS,FODTRANS,CHOL,NA,K,CA,MG,P,FE,CU,ZN,CL,MN,SE,I,RET,CAREQU,RETEQU,VITD,VITE,VITK1,THIA,RIBO,NIAC,TRYP60,NIACEQU,VITB6,VITB12,FOLT,PANTO,BIOT,VITC
,Water,Total nitrogen,Protein,Fat,Carbohydrate,kcal,kJ,Starch,Oligosaccharide,Total sugars,Glucose,Galactose,Fructose,Sucrose,Maltose,Lactose,Alcohol,Non-starch polysaccharide,AOAC fibre,Saturated fatty acids per 100g fatty acids,Saturated fatty acids per 100g food,Total n-6 polyunsaturated fatty acids per 100g fatty acid,Total n-6 polyunsaturated fatty acids per 100g food,Total n-3 polyunsaturated fatty acids per 100g fatty acid,Total n-3 polyunsaturated fatty acids per 100g food,cis-Monounsaturated fatty acids /100g FA,cis-Monounsaturated fatty acids /100g Food,Monounsaturated fatty acids per 100g fatty acids,Monounsaturated fatty acids per 100g food,cis-Polyunsaturated fatty acids /100g FA,cis-Polyunsaturated fatty acids /100g Food,Polyunsaturated fatty acids per 100g fatty acids,Polyunsaturated fatty acids per 100g food,Saturated fatty acids excluding branch per 100 g fatty acid,Saturated fatty acids excluding branch per 100 g food,Total branched chain per 100g fatty acid,Total branched chain per 100g food,Total Trans fatty acids per 100g fatty acids,Total Trans fatty acids per 100g food,Cholesterol,Sodium,Potassium,Calcium,Magnesium,Phosphorus,Iron,Copper,Zinc,Chloride,Manganese,Selenium,Iodine,Retinol,Carotene,Total retinol equivalent,Total Vitamin D,Total Vitamin E,Phylloquinone,Thiamin,Riboflavin,Niacin,Tryptophan divided by 60,Niacin equivalent,Vitamin B6,Vitamin B12,Folate,Pantothenate,Biotin,Vitamin C
"Chicken/turkey pieces, coated, baked",46.9,2.30,14.4,13.9,19.6,256,1073,18.5,0.0,1.1,0.2,0,0,0.4,0.5,0,0.0,1.1,2.3,15.86,2.11,23.61,3.14,5.72,0.76,53.86,7.16,54.02,7.18,29.34,3.90,29.34,3.90,15.79,2.10,0.07,0.01,0.16,0.02,4.1,360,278,31,24,169,1.07,0.08,0.8,510,0.20,7,3,0,0,0,0,2.75,0,0.07,0.17,7.1,3.1,10.2,0.39,0.2,27,0.61,2.9,0
"Chicory, pale variety, boiled in unsalted water",94.8,0.10,0.6,0.3,2.1,7,31,0.1,0,0.5,0.2,0.0,0.3,0,0.0,0.0,0.0,1.1,N,0,0.10,0,0,0,0,0,0,0,0,0,0,0,0.10,0,0,0,0,0,0.00,0.0,1,110,20,5,25,0.40,0.02,0.4,23,0.30,N,N,0,100,17,0.0,N,0,0.05,0,0,0.2,0.2,0,0.0,11,N,N,1
"Chicory, pale variety, raw",94.3,0.09,0.5,0.6,2.8,11,45,0.2,0,0.7,0.3,0.0,0.4,0,0.0,0.0,0.0,0.9,N,0,0.20,0,0,0,0,0,0,0,0,0,0,0,0.30,0,0,0,0,0,0.00,0.0,1,170,21,6,27,0.40,0.05,0.2,25,0.30,N,N,0,120,20,0.0,N,0,0.14,0,0.1,0.2,0.3,0.01,0.0,14,N,N,5
"Chilli con carne, homemade",74.3,1.48,9.2,7.5,4.4,120,500,1.3,0.3,2.9,1.1,0.0,1.1,0.6,0.0,0.0,0.0,1.1,N,0,2.90,0,0,0,0,0,0,0,2.97,0,0,0,0.85,0,0,0,0,0,0.32,23.8,101,263,21,17,90,1.11,0.05,1.7,166,0.10,3,5,0,246,41,0.3,1.15,0,0.10,0.07,2.3,1.6,3.9,0.20,0.6,9,0.21,0.9,7
"Chilli con carne, retail, reheated",76.4,1.23,7.7,4.3,7.1,96,404,4.4,0,2.7,0,0,0,0,0,0,0.0,1.4,0,0,1.90,0,0,0,0,0,0,0,1.90,0,0,0,0.20,0,0,0,0,0,0.20,N,310,300,42,21,90,1.50,0.13,1.4,470,0.18,N,N,65,99,82,N,N,0,0.07,0.12,1.6,1.3,2.9,0.19,1.0,15,0.51,4.0,N
"Chilli con carne, retail, reheated, with rice",72.6,0.94,5.8,2.7,18.1,116,491,16.5,0,1.6,N,0,N,N,0.0,0.0,0.0,0.8,N,0,1.17,0,0,0,0,0,0,0,1.19,0,0,0,0.17,0,0,0,0,0,0.12,N,188,187,33,15,70,0.92,0.11,1.0,317,0.21,3,N,39,59,49,N,N,0,0.06,0.07,1.2,1.1,2.3,0.13,0.6,11,0.34,2.6,N
Chilli powder,10.8,2.16,13.5,14.3,N,N,N,N,0,7.2,2.1,0.0,4.3,0.8,0.0,0.0,0.0,N,34.8,0,2.46,0,0,0,0,0,0,0,3.21,0,0,0,8.01,0,0,0,0,0,0.00,0.0,4000,1950,330,149,300,17.30,1.00,4.3,5980,1.70,N,N,0,17790,2965,0.0,N,105.70,0.25,0.94,11.6,N,N,2.10,0.0,28,0.89,N,1
Chilli sauce,82.1,0.21,1.3,0.8,7.3,40,169,0.4,0,6.9,3.1,0.0,3.8,0,0.0,0.0,0.0,1.1,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.0,1250,140,17,15,28,2.80,0.07,0.1,1770,0.17,0,2,0,570,95,0.0,1.97,0,0.01,0.09,0.6,0.3,0.9,0.10,0.0,10,0.22,1.0,8
"Chilli, bean and lentil, homemade",73.5,0.85,5.3,2.5,13.2,92,387,8.0,0,3.5,1.5,0,1.5,0.5,0.0,0.0,0,N,N,0,0.23,0,0,0,0,0,0,0,1.20,0,0,0,0.89,0,0,0,0,0,0,0.0,41,354,45,28,93,2.13,0.12,0.7,N,0.31,10,N,0,N,N,0.0,N,0,0.18,0.08,1.0,0.8,1.8,0.21,0.0,19,N,N,9
"Chilli, Quorn, homemade",79.5,0.85,5.3,3.6,6.9,83,350,2.7,0,3.5,1.3,0,1.2,1.2,0,0,0,2.6,N,0,0.39,0,0,0,0,0,0,0,N,0,0,0,N,0,0,0,0,0,0,0.0,101,211,25,21,94,0.76,0.08,2.1,N,0.87,N,N,0,272,45,0.0,1.34,0,0.12,0.11,0.6,1.0,1.6,0.11,0.1,12,0.18,N,10
"Chilli, vegetable, homemade",84.0,0.41,2.5,0.8,8.6,49,210,4.2,0.5,3.8,0.8,0,0.8,2.2,0,0.0,0.0,2.6,N,0,0.14,0,0,0,0,0,0,0,0.16,0,0,0,0.27,0,0,0,0,0,0,0.0,127,235,29,17,53,0.82,0.04,0.3,N,0.18,2,N,0,1470,245,0.0,0.54,0,0.13,0.03,0.5,0.4,0.9,0.09,0.0,14,0.13,N,8
Chinese 5 spice,9.1,1.53,9.5,8.7,N,N,N,N,0,N,N,0.0,N,N,0.0,0.0,0.0,N,N,0,N,0,0,0,0,0,0,0,N,0,0,0,N,0,0,0,0,0,0.00,0.0,63,1070,1040,210,260,25.60,0.74,2.9,N,8.40,N,N,0,138,23,0.0,N,0,0.21,0.24,5.3,N,N,N,0.0,0,N,N,0
"Chital, raw",77.5,2.89,18.1,1.9,0.0,90,378,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,N,0,0,0,0,0,0,0,N,0,0,0,N,0,0,0,0,0,0,N,34,120,110,N,210,2.10,0.17,N,N,N,N,N,55,0,55,N,N,0,0.04,0.07,N,3.4,N,N,N,N,N,N,0
"Chives, fresh",90.7,0.53,3.3,0.7,1.9,27,112,0,0,1.9,0.9,0.0,1.0,0,0.0,0.0,0.0,1.9,2.5,0,0.15,0,0,0,0,0,0,0,0.10,0,0,0,0.27,0,0,0,0,0,0.00,0.0,3,296,92,42,58,1.60,0.16,0.6,N,0.37,0,N,0,2610,435,0.0,0.21,0,0.08,0.12,0.7,0.7,1.4,0.14,0.0,105,0.33,N,58
"Cho cho fritters, fried in rapeseed oil, homemade",65.2,0.77,4.7,12.4,16.6,192,803,13.6,0,2.9,0.9,0,1.1,0.1,0.0,0.9,0,1.3,0.7,0,2.14,0,0,0,0,0,0,0,6.34,0,0,0,2.95,0,0,0,0,0,0.06,62.6,49,176,56,19,82,0.87,N,0.5,114,N,N,N,40,43,47,0.5,N,0,0.06,0.13,0.5,1.1,1.3,N,0.6,N,0.56,N,5
"Cho cho, boiled in unsalted water",95.0,0.09,0.5,0.1,2.9,14,59,0.4,0,2.5,1.1,0.0,1.3,0,0.0,0.0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4,120,13,13,20,0.30,N,0.2,33,N,N,N,0,40,6,0.0,N,0,0.02,0.03,0.4,0.1,0.5,N,0.0,N,0.41,N,11
"Cho cho, raw",93.7,0.11,0.7,0.1,3.7,17,74,0.5,0,3.1,1.4,0.0,1.7,0,0.0,0.0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5,150,16,17,25,0.40,N,0.2,42,N,N,N,0,50,8,0.0,N,0,0.02,0.03,0.5,0.1,0.6,N,0.0,N,0.48,N,15
Chocolate covered bar with caramel and cereal,5.0,0.81,5.2,25.8,66.2,501,2102,11.6,8.2,46.4,2.1,0,0,32.9,2.0,9.4,0,0.8,1.9,65.93,16.26,4.24,1.05,0.21,0.05,28.60,7.05,28.97,7.14,4.45,1.10,4.45,1.10,65.76,16.22,0.17,0.04,0.37,0.09,9.3,161,329,140,40,158,4.60,0.24,0.8,230,0.40,4,N,15,7,16,N,0.94,0,N,N,N,0.9,N,N,N,N,N,1.8,0
Chocolate covered caramel and biscuit fingers,3.6,0.79,5.0,23.6,70.0,495,2079,12.2,12.4,45.4,4.5,0,0,31.6,3.5,5.8,0.0,1.5,2.5,60.64,13.52,5.70,1.27,0.23,0.05,33.57,7.49,33.81,7.54,5.93,1.32,5.93,1.32,60.51,13.49,0.13,0.03,0.24,0.05,9.5,191,242,100,30,118,1.62,0.13,0.6,310,0.30,1,16,33,12,35,0.3,1.28,0,0.03,0.23,0.2,1.0,1.2,0,0.5,4,0.40,1.8,0
Chocolate covered wafer biscuit,2.6,0.96,5.5,28.6,61.1,509,2130,16.1,0,45.1,0,0,0,38.2,0,6.9,0.0,1.4,2.7,64.00,17.50,4.10,1.12,0.33,0.10,28.60,7.25,30.63,7.81,4.50,1.22,4.50,1.22,63.68,17.43,0.32,0.07,2.00,0.55,16.3,90,340,167,41,151,2.37,0.27,0.8,130,0.35,4,22,28,0,28,0,0.83,0,0.07,0.20,0.8,1.2,2.0,0.05,0.0,11,0.83,14.0,0
Chocolate nut spread,0,0.99,6.2,33.0,60.5,549,2294,0.8,0,59.7,0,0.0,0,56.7,0.0,3.0,0.0,0.8,3.0,29.61,9.34,16.70,5.27,0.40,0.13,53.30,16.82,53.30,16.82,17.10,5.40,17.10,5.40,29.60,9.34,0.00,0.00,0,0,2.0,50,390,130,65,180,2.20,0.48,1.0,60,1.10,N,N,0,0,0,0,N,0,0.03,0.10,0.5,1.5,2.0,0.10,0,N,N,N,0
Chocolate nut sundae,48.5,0.43,2.6,15.0,33.5,271,1136,N,0,29.9,9.7,0,8.8,7.9,0.7,2.8,0.0,N,N,0,8.94,0,0,0,0,0,0,0,4.23,0,0,0,0.80,0,0,0,0,0,0.42,39.1,36,131,65,18,71,0.36,0.07,0.3,61,0.10,1,21,185,109,203,0.3,0.86,0,0.08,0.18,0.4,0.6,1.0,0.03,0.4,7,0.61,3.0,1
Chocolate spread,1.0,0.52,3.3,37.7,59.4,575,2402,0,0,59.4,0,0,0,49.5,0,10.0,0.0,1.0,2.0,22.57,8.13,15.85,5.71,5.32,1.92,55.21,19.90,55.30,19.93,21.16,7.63,21.16,7.63,22.51,8.11,0.06,0.02,0.09,0.03,8.9,58,362,91,51,128,4.87,0.32,0.7,160,0.40,1,15,0,0,0,0,7.70,0,0.17,0,0.3,0.6,0.9,0.19,0,10,0.26,0.8,0
"Chocolate, dark, with crème or mint fondant centres",5.4,0.58,3.7,16.3,71.9,431,1816,0,9.0,62.9,4.0,0,2.4,56.5,0,0,0.0,1.9,4.7,63.65,9.80,3.26,0.50,0.23,0.04,33.12,5.10,33.21,5.12,3.48,0.54,3.48,0.54,63.65,9.80,0,0,0.10,0.01,3.3,6,389,49,13,104,0.67,0.06,0.6,30,0.10,3,8,74,15,77,0,1.52,0,0.16,0.01,0.5,0.6,1.1,0.35,0,1,0.04,1.6,0
"Chocolate, fancy and filled",6.1,0.78,4.9,21.3,62.9,447,1878,0.2,0,60.0,5.4,0.0,3.1,45.7,2.2,3.6,0.0,1.3,N,55.50,11.30,4.70,0.95,0.20,0.04,38.80,7.90,0,8.00,4.91,1.00,4.91,1.00,55.50,11.24,0.20,0.04,0.49,0.10,11.0,88,270,110,48,150,1.20,0.30,0.8,140,0.39,2,N,81,120,101,0,1.65,0,0.05,0.20,0.4,0.9,1.3,0.03,0,17,0.73,3.0,0
"Chocolate, milk",1.6,1.15,7.3,31.1,56.0,519,2171,0,0,56.0,0,0,0,46.8,0,9.2,0.0,1.3,2.3,63.67,18.71,3.49,1.03,0.35,0.10,32.13,9.44,32.66,9.60,3.84,1.13,3.84,1.13,63.25,18.59,0.41,0.12,0.53,0.16,22.1,89,451,226,57,224,2.05,0.31,1.1,190,0.30,3,51,66,22,70,0,1.60,0,0.12,0.53,0.3,2.4,2.7,0.21,2.1,9,0.73,2.4,0
"Chocolate, plain",0.6,0.80,5.0,28.0,63.5,510,2137,0.9,0,62.6,0,0.0,0,62.4,0,0.2,0.0,2.5,N,0,16.80,3.60,0.96,0.30,0.08,33.30,8.91,0,9.00,3.90,1.04,0,1.00,62.60,16.76,0.00,0.00,0.20,0.05,6.0,6,300,33,89,140,2.30,0.71,1.3,9,0.63,4,3,15,15,18,0.0,1.44,2.30,0.04,0.06,0.4,0.7,1.1,0.03,0.0,12,0.30,3.0,0
"Chocolate, white",0.6,1.28,8.0,30.9,58.3,529,2212,0,0,58.3,0,0.0,0,47.6,0,10.7,0.0,N,N,0,18.40,0,0,0,0,0,0,0,10.00,0,0,0,1.10,0,0,0,0,0,N,N,110,350,270,26,230,0.20,0,0.9,250,0.02,N,N,13,75,26,0,1.14,0,0.08,0.49,0.2,2.6,2.8,0.07,0,10,0.59,3.0,0
Chorizo,N,3.84,24.0,32.2,2.4,395,1638,1.3,0,1.1,0.0,0.0,0.0,0,0.0,1.1,0.0,N,1.0,0,12.00,0,0,0,0,0,0,0,14.50,0,0,0,4.93,0,0,0,0,0,N,N,1400,240,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,N,N,N
"Choux buns, homemade",44.5,0.90,5.3,34.1,17.9,395,1638,17.0,0,0.9,0,0,0,0.1,0.0,0.8,0,0.7,0.8,0,18.23,0,0,0,0,0,0,0,10.52,0,0,0,2.44,0,0,0,0,0,0.84,136.8,122,99,53,10,86,0.80,0.04,0.5,198,0.15,7,N,N,289,N,N,N,0,0.07,0.19,0.3,1.3,1.6,0.05,0.9,10,0.39,4.9,0
"Chow mein, beef, retail, reheated",71.7,1.07,6.7,6.0,14.7,136,571,12.3,0,2.4,N,N,0.0,1.2,0.0,0.0,0.0,N,1.8,0,1.30,0,0,0,0,0,0,0,3.10,0,0,0,1.40,0,0,0,0,0,N,N,200,N,N,N,N,1.30,N,N,310,N,N,N,0,0,0,N,0.43,0,0.03,0.03,N,1.1,N,N,0,N,N,N,0
"Chow mein, chicken, takeaway",69.0,1.36,8.5,7.2,12.7,147,614,6.6,5.8,0.3,0,0,0.3,0,0,0,0.0,1.1,1.5,17.03,1.17,0,0,0,0,56.08,3.86,56.08,3.86,26.45,1.82,26.89,1.85,0,0,0,0,0.00,0.00,13.4,466,90,46,11,64,1.01,0.05,0.4,720,0.15,N,N,0,110,18,N,0.96,0,0.05,0.03,1.8,1.3,3.1,0.08,0,4,0.47,1.6,0
"Chow mein, pork and chicken, homemade",73.7,1.52,9.2,1.9,5.8,72,305,4.2,0,1.5,N,0,N,N,0,0.0,0.2,0.6,N,0,0.76,0,0,0,0,0,0,0,6.23,0,0,0,3.13,0,0,0,0,0,0,23.5,362,210,23,21,110,0.93,0.06,0.6,N,0.08,N,N,0,443,74,0.1,3.34,0,0.14,0.07,2.3,1.6,3.9,0.17,0.2,8,N,N,4
"Chutney, apple, homemade",47.7,0.13,0.8,0.2,49.2,190,810,0.1,0,48.4,4.3,0,5.7,38.4,0.0,0.0,0,1.3,0.7,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.07,0,0,0,0,0,0.00,0.0,11,179,21,10,21,0.75,0.10,0.2,35,0.11,1,1,0,11,2,0.0,0.20,0,0.05,0.01,0.3,0.2,0.5,0.09,0.0,3,0.04,0.7,5
"Chutney, mango, sweet",44.3,0.11,0.7,0.1,48.3,189,806,2.6,0,45.7,20.6,0.0,19.5,5.6,0.0,0.0,0.0,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0.0,1300,42,9,19,8,1.10,0,0,1530,0.07,N,N,0,N,N,0.0,N,0,0.00,0.01,0.2,0.8,1.0,N,0.0,N,N,N,0
"Chutney, tomato",63.8,0.19,1.2,0.2,31.0,128,542,2.9,0,28.1,13.6,0.0,14.2,0.3,0.0,0.0,0.0,1.3,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10,0,0,0,0,0,N,0.0,410,300,14,12,27,0.60,0.09,0.2,790,0.12,N,N,0,N,N,0.0,N,0,0.05,0.15,0.1,0.2,0.3,0.02,0.0,N,N,N,0
"Chutney, tomato, homemade",54.4,0.15,1.0,0.2,40.8,166,704,0,0,40.2,3.8,0,4.0,32.3,0.0,0.0,0,1.3,N,0,0.02,0,0,0,0,0,0,0,0.04,0,0,0,0.06,0,0,0,0,0,0.00,0.0,8,264,25,12,30,0.68,0.10,0.2,82,0.15,0,N,0,215,36,0.0,0.46,0,0.08,0.01,0.7,0.2,0.9,0.15,0.0,10,0.15,1.2,8
"Cider, dry",92.5,0,0,0.0,2.6,36,152,0.0,0,2.6,0.6,0.0,0.5,0.7,0.8,0.0,3.8,0.0,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0.00,0,0,0,0,0,0.00,0.0,7,72,8,3,3,0.50,0.04,0,6,0,0,N,0,0,0,0.0,N,0,0,0,0.0,0,0,0.01,0,N,0.04,1.0,0
"Cider, low alcohol",94.9,0,0,0.0,3.6,17,74,0.0,0,3.6,0.7,0.0,1.4,1.4,0.1,0.0,0.6,0.0,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0.00,0,0,0,0,0,0.00,0.0,3,81,7,2,4,0.10,0.03,0,2,0.01,0,0,0,0,0,0.0,N,0,0,0,0.1,0,0.1,0,0,2,0.07,0,0
"Cider, strong",86.9,0,0,0.0,7.3,68,285,0.0,0,7.3,1.8,0.0,1.3,2.0,2.3,0.0,5.8,0.0,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0.00,0,0,0,0,0,0.00,0.0,2,97,5,4,9,0.30,0.02,0,5,0,0,N,0,0,0,0.0,N,0,0,0,0.0,0,0,0.01,0,N,0.03,1.0,0
"Cider, sweet",91.2,0,0,0.0,4.3,42,176,0.0,0,4.3,1.0,0.0,0.7,1.2,1.3,0.0,3.7,0.0,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0.00,0,0,0,0,0,0.00,0.0,7,72,8,3,3,0.50,0.04,0,6,0,0,N,0,0,0,0.0,N,0,0,0,0.0,0,0,0.01,0,N,0.03,1.0,0
"Cinnamon, ground",10.6,0.64,4.0,1.2,N,N,N,N,0,2.2,1.0,0.0,1.1,0,0.0,0.0,0.0,N,53.1,0,0.35,0,0,0,0,0,0,0,0.25,0,0,0,0.07,0,0,0,0,0,0.00,0.0,10,431,1002,60,64,8.32,0.34,1.8,N,17.47,3,N,0,177,30,0.0,N,31.20,0.02,0.04,1.3,N,N,0.16,0.0,6,0.36,N,4
"Citrus fruit, soft/easy peelers, flesh only",85.8,0.12,0.7,0.2,9.6,41,173,0.0,0,9.6,1.6,0,1.9,6.1,0.0,0.0,0.0,1.2,1.5,0,0.04,0,0,0,0,0,0,0,0.06,0,0,0,0.07,0,0,0,0,0,0.00,0.0,1,128,25,9,15,0.09,0.04,0,55,0.02,0,1,0,105,18,0.0,0.21,0,0.17,0.03,0.4,0.1,0.5,0.06,0.0,19,0.15,1.4,42
"Citrus fruit, soft/easy peelers, flesh only, weighed with peel and pips",66.9,0.09,0.5,0.2,7.5,32,136,0.0,0,7.5,1.2,0.0,1.5,4.8,0.0,0.0,0.0,0.9,1.2,0,0.03,0,0,0,0,0,0,0,0.05,0,0,0,0.05,0,0,0,0,0,0.00,0.0,1,100,19,7,12,0.07,0.03,0,43,0.02,0,1,0,82,14,0.0,0.16,0,0.13,0.02,0.3,0.1,0.4,0.05,0.0,15,0.12,1.1,33
"Cloves, dried",6.9,0.96,6.0,20.1,N,N,N,0,0,N,N,0.0,N,N,0.0,0.0,0,N,0,0,4.40,0,0,0,0,0,0,0,N,0,0,0,N,0,0,0,0,0,0,0.0,240,1100,730,260,110,5.60,0.49,2.2,N,8.50,N,N,0,320,53,0.0,N,0,0.11,0.27,1.5,N,N,N,0.0,0,N,N,0
"Cockles, boiled",83.0,1.92,12.0,0.6,0,53,226,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.20,0,0,0,0,0,0,0,0.10,0,0,0,0.20,0,0,0,0,0,0,53.0,490,110,91,46,140,28.00,0.38,2.1,750,0.84,43,160,40,0,40,0,N,0,0.05,0.11,1.2,2.6,3.8,0.04,47.0,N,0.27,9.0,0
"Coco fritters, fried in rapeseed oil, homemade",42.6,0.77,4.7,22.5,26.1,322,1341,25.8,0,0.9,0.1,0,0.1,0.5,0.0,0.0,0,1.9,N,0,N,0,0,0,0,0,0,0,N,0,0,0,N,0,0,0,0,0,0.00,74.9,213,292,55,28,216,1.15,0.16,1.2,88,0.43,N,N,40,24,44,0.4,N,0,0.09,0.10,0.6,1.3,1.9,0.08,0.5,N,N,N,7
Cocoa butter,0.5,0,0,99.5,0.0,896,3682,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,59.00,0,0,0,0,0,0,0,32.80,0,0,0,3.30,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0
Cocoa powder,3.4,3.70,18.5,21.7,11.5,312,1301,11.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1,N,0,12.80,0,0,0,0,0,0,0,7.20,0,0,0,0.60,0,0,0,0,0,N,0.0,N,1500,130,520,660,10.50,3.90,6.9,N,N,N,N,0,40,7,0.0,0.68,1.50,0.16,0.06,1.7,3.9,5.6,0.07,0.0,38,N,N,0
"Cocoa powder, made up with semi-skimmed milk",86.2,0.59,3.7,2.0,6.7,58,244,0.2,0,6.5,0.0,0,0.0,2.0,0.0,4.5,0,0.2,N,0,1.27,0,0,0,0,0,0,0,0.52,0,0,0,0.01,0,0,0,0,0,0.07,5.7,41,178,118,20,103,0.22,0.07,0.5,84,N,1,N,18,9,20,0,0.04,0,0.03,0.21,0.2,0.7,0.9,0.05,0.8,7,0.59,2.9,1
"Cocoa powder, made up with skimmed milk",87.4,0.60,3.7,0.6,6.7,46,194,0.2,0,6.5,0.0,0,0.0,2.0,0.0,4.6,0,0.2,N,0,0.36,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,3.5,42,183,123,21,105,0.22,0.07,0.6,84,N,1,N,1,1,1,0,0.01,0,0.03,0.20,0.1,0.7,0.8,0.05,0.8,7,0.42,2.3,0
"Cocoa powder, made up with whole milk",84.4,0.58,3.6,3.9,6.6,74,311,0.2,0,6.3,0.0,0,0.0,2.0,0.0,4.4,0,0.2,N,0,2.44,0,0,0,0,0,0,0,1.06,0,0,0,0.10,0,0,0,0,0,0.13,11.6,41,179,118,20,105,0.22,0.08,0.6,86,N,1,N,35,14,37,0,0.06,0,0.03,0.20,0.2,0.7,0.7,0.06,0.8,7,0.50,2.4,1
"Coconut ice, homemade",17.2,0.31,1.8,12.3,67.1,369,1559,0.0,0,67.1,0,0,0.2,66.0,0.0,0.9,0.0,2.6,N,0,10.54,0,0,0,0,0,0,0,0.76,0,0,0,0.29,0,0,0,0,0,0.01,1.2,17,162,35,21,50,0.82,0.18,0.3,56,0.35,3,7,4,2,4,0,0.25,0,0.01,0.05,0.2,0.3,0.5,0.03,0.2,3,0.22,N,0
Coconut milk,92.2,0.06,0.3,0.3,4.9,22,95,0.0,0,4.9,0.3,0,0,4.6,0.0,0.0,0.0,0,0,0,0.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.0,110,280,29,30,30,0.10,0.04,0.1,180,N,N,N,0,0,0,0.0,0,0,0.03,0.06,0.1,0.1,0.2,0.03,0.0,N,0.04,N,2
"Coconut milk, reduced fat, retail",89.5,0.13,0.7,7.7,2,79,328,0.9,0,1.1,N,0.0,N,N,0.0,0.0,0.0,N,0.1,0,6.35,0,0,0,0,0,0,0,N,0,0,0,N,0,0,0,0,0,0.00,0.0,0,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0.0,N,0,N,N,N,N,N,N,0.0,N,N,N,N
"Coconut milk, retail",78.3,0.21,1.1,16.9,3.3,169,697,1.3,0,2,N,0.0,N,N,0.0,0.0,0,N,0.4,0,14.64,0,0,0,0,0,0,0,N,0,0,0,N,0,0,0,0,0,0.00,0.0,0,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0.0,N,0,N,N,N,N,N,N,0.0,N,N,N,N
"Coconut, desiccated",2.3,1.05,5.6,62.0,6.4,604,2492,0.0,0,6.4,0,0,0.8,5.6,0.0,0.0,0.0,13.7,N,0,53.40,0,0,0,0,0,0,0,3.50,0,0,0,1.50,0,0,0,0,0,0.00,0.0,28,660,23,90,160,3.60,0.55,0.9,200,1.80,12,3,0,0,0,0.0,1.26,0,0.03,0.05,0.9,1.1,2.0,0.09,0.0,9,0.50,N,0
