name,display_name,emoji,recommend,water_g,nitrogen_g,protein_g,fat_g,carbohydrate_g,energy_kcal,energy_kJ,starch_g,oligosaccharide_g,sugar_g,glucose_g,galactose_g,fructose_g,sucrose_g,maltose_g,lactose_g,alcohol_g,non_starch_polysaccharide_g,fibre_g,saturated_fat_g,n_6_polyunsaturated_fat_g,n_3_polyunsaturated_fat_g,cis_monounsaturated_g,monounsaturated_fat_g,cis_polyunsaturated_fat_g,polyunsaturated_fat_g,branched_chain_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,potassium_mg,calcium_mg,magnesium_mg,phosphorus_mg,iron_mg,copper_mg,zinc_mg,chloride_mg,manganese_mg,selenium_ug,iodine_ug,retinol_ug,carotene_ug,retinol_equivalent_ug,vitamin_d_ug,vitamin_e_mg,vitamin_k1_ug,thiamin_mg,riboflavin_mg,niacin_mg,tryptophan_over_60_mg,niacin_equivalent_mg,vitamin_b6_mg,vitamin_b12_ug,folate_ug,pantothenate_mg,biotin_ug,vitamin_c_mg
unit,,,,g,g,g,g,g,kcal,kJ,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,ug,ug,ug,ug,ug,ug,mg,ug,mg,mg,mg,mg,mg,mg,ug,ug,mg,ug,mg
code,,,,WATER,TOTNIT,PROT,FAT,CHO,KCALS,KJ,STAR,OLIGO,TOTSUG,GLUC,GALACT,FRUCT,SUCR,MALT,LACT,ALCO,ENGFIB,AOACFIB,SATFOD,TOTn6PFOD,TOTn3PFOD,MONOFODc,MONOFOD,POLYFODc,POLYFOD,TOTBRFOD,FODTRANS,CHOL,NA,K,CA,MG,P,FE,CU,ZN,CL,MN,SE,I,RET,CAREQU,RETEQU,VITD,VITE,VITK1,THIA,RIBO,NIAC,TRYP60,NIACEQU,VITB6,VITB12,FOLT,PANTO,BIOT,VITC
detail,,,,Water,Total nitrogen,Protein,Fat,Carbohydrate,Energy (kcal),Energy (kJ),Starch,Oligosaccharide,Sugars,Glucose,Galactose,Fructose,Sucrose,Maltose,Lactose,Alcohol,Non-starch polysaccharide,AOAC fibre,Saturated fatty acids,Total n-6 polyunsaturated fatty acids,Total n-3 polyunsaturated fatty acids,cis-Monounsaturated fatty acids,Monounsaturated fatty acids,cis-Polyunsaturated fatty acids,Polyunsaturated fatty acids,Total branched chain,Total Trans fatty acids,Cholesterol,Sodium,Potassium,Calcium,Magnesium,Phosphorus,Iron,Copper,Zinc,Chloride,Manganese,Selenium,Iodine,Retinol,Carotene,Total retinol equivalent,Vitamin D,Vitamin E,Phylloquinone,Thiamin,Riboflavin,Niacin,Tryptophan divided by 60,Niacin equivalent,Vitamin B6,Vitamin B12,Folate,Pantothenate,Biotin,Vitamin C
"High juice drink, diluted",Diluted High Juice,🧃,TRUE,91.4,0.01,0.1,0,8.5,32,137,0,0,8.5,3.3,0,3.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,3,1,1,0,0,0,1,0,0,0,0,N,N,0,N,0,0,0,0,0,0,0.01,0,1,0,0,N
"High juice drink, no added sugar, undiluted",Sugar-Free High Juice Concentrate,🧃,TRUE,95.1,0.04,0.3,0,4.6,18,78,0,0,4.6,1.1,0,1.3,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,110,14,4,5,0,0,0,N,0,0,0,0,N,N,0,N,0,0.01,0.01,0.1,0,0.1,0.03,0,4,0,0,N
"High juice drink, undiluted",High Juice Concentrate,🧃,TRUE,57.1,0.04,0.3,0,42.6,161,687,0,0,42.6,16.6,0,16.2,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,110,14,4,5,0,0,0,6,0,0,0,0,N,N,0,N,0,0.01,0.01,0.1,0,0.1,0.03,0,4,0,0,N
"Hollandaise sauce, homemade",Homemade Hollandaise Sauce,🍛,TRUE,13.4,0.81,5.1,77.9,0.9,717,2948,0,0,0.5,0,0,0,0,0,0.5,0,0,0.1,46.36,0,0,0,20.91,0,3.75,0,2.44,518.9,630,66,63,6,183,2.06,0.06,1.2,990,0.12,16,33,929,542,1019,4.2,2.97,0,0.03,0.19,0,1.3,1.3,0.07,2.5,23,1.1,13,1
"Horlicks, powder",Horlicks Powder,🍛,FALSE,2.5,1.5,9.4,3.1,83.7,379,1614,44.8,0,38.9,N,0,N,N,N,N,0,4,3.4,1.3,0,0,0,N,0,N,0,0,N,500,686,1910,39,300,10.5,0.2,N,N,N,N,N,978,0,978,18.5,12.2,0,1.7,2,22,3,25,2.4,1.2,160,7.3,184,73
Horseradish sauce,Horseradish Sauce,🐴,TRUE,64,0.4,2.5,8.4,17.9,153,640,3,0,15,4,0,3.6,7.4,0,0,0,2.5,2.5,1.1,2.43,0.66,3.73,3.8,2.99,3.2,0.01,0.15,14,910,220,43,18,42,0.6,0.05,0.4,1710,0.18,N,N,0,0,0,0,N,0,N,N,N,N,N,N,0,N,N,N,0
"Horseradish, raw",Fresh Horseradish,🐴,TRUE,74.7,0.72,4.5,0.3,11,62,264,3.7,0,7.3,0.7,0,0.1,6.5,0,0,0,6.2,0,N,0,0,0,N,0,N,0,0,0,8,580,120,36,70,2,0.23,1.4,19,0.5,N,N,0,0,0,0,0,0,0.05,0.03,0.5,0.7,1.2,0.15,0,N,N,N,120
"Hot cross buns, homemade",Homemade Hot Cross Buns,🍰,TRUE,25.1,1.26,7.3,5.8,58.3,312,1319,34.9,0,23.4,5,0,4.1,11.7,1.1,0.9,0,1.9,N,1.95,0,0,0,2.31,0,0.94,0,0.02,20.1,77,224,111,22,109,1.41,0.24,0.7,138,0.44,N,N,56,43,63,0.6,2.14,0,0.2,0.14,1.4,1.5,2.9,0.1,0.3,28,0.34,4.3,0
Houmous,Hummus,🍛,TRUE,51.7,1.09,6.8,26.7,10.5,307,1272,9.3,0.6,0.6,0,0,0.1,0.5,0,0,0,N,4.9,N,0,0,0,N,0,N,0,N,0,410,190,41,62,160,1.9,0.3,1.4,N,0.5,4,N,0,N,N,0,N,0,0.16,0.05,1.1,1,2.1,0.15,0,42,0.39,N,1
"Iced buns, retail",Store-Bought Iced Buns,🍰,TRUE,24.4,1.05,6,7.8,60.8,322,1364,35,0,25.8,6.4,0,7,11.4,1,0,0,3.2,2.5,3.62,1.03,0.26,2.49,2.49,1.3,1.3,0.01,0,4.7,228,130,294,18,96,1.62,0.12,0.6,245,0.39,5,0,0,N,N,0,0.77,0,0.14,0.03,1.3,1.2,2.5,0.05,0,22,0.76,5.3,0
"Icing, fondant, homemade",Homemade Fondant Icing,🍰,TRUE,12.6,0.21,1.3,0,90.1,343,1463,0,0,88.9,0,0,0,87.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,24,9,3,3,0.18,0.11,0.1,24,0,1,0,0,0,0,0,0,0,0,0.05,0,0.3,0.3,0.01,0,1,0.04,0.7,1
"Icing, glace, homemade",Homemade Glacé Icing,🍰,TRUE,15.3,0,0,0,88.9,333,1422,0.9,0,88,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,2,0,1,0.42,0.04,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Icing, Royal, homemade",Homemade Royal Icing,🍰,TRUE,9.6,0.18,1.1,0,93.4,354,1513,1,0,92.4,0,0,0,92.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,26,2,1,2,0.45,0.05,0.1,16,0,1,0,0,0,0,0,0,0,0,0.04,0,0.3,0.3,0,0,1,0.03,0.6,0
"Instant drinks powder, malted, unfortified",Unfortified Malted Drink Powder,🏰,TRUE,3.4,0.91,5.7,6.2,82.5,388,1646,0,27.7,54.8,3.7,0,0,10.7,14.3,26.1,0,N,2.1,3.8,0,0,0,N,0,N,0,0,3.5,400,1191,349,67,470,0.6,7.57,5.1,620,0.1,N,N,0,4,1,0,N,0,0.36,0.91,4.9,2.6,7.5,0.17,0,18,1.5,16,0
"Jackfruit, raw",Fresh Jackfruit,🍎,TRUE,73.2,0.21,1.3,0.3,21.4,88,375,0.8,0,20.6,4.5,0,5.1,10.9,0,0,0,N,0,N,0,0,0,N,0,N,0,0,0,3,350,26,25,38,0.7,0.19,0.6,N,0.2,N,N,0,210,35,0,N,0,0.05,0.12,0.5,N,N,0.11,0,N,N,N,10
Jaffa cakes,Jaffa Cakes,🍰,TRUE,12.2,0.78,4.4,8.5,69.3,354,1498,16.3,1.4,51.6,8.5,0,1.8,35.1,6,0.2,0,1,1.5,4.33,0.86,0.08,2.76,2.76,0.94,0.94,0,0.01,9.4,85,133,46,30,98,2.61,0.22,0.7,64,0.32,4,5,15,10,17,0,0.3,0,0.13,0.13,1.3,0.6,1.9,0.07,0.4,9,0.47,4,2
"Jam tarts, retail",Jam Tarts,🍓,TRUE,16.9,0.56,3.2,13.5,58.2,353,1485,26.2,0,32.1,9.4,0,3.7,10.9,8.2,0,0,1.3,1.4,5.54,1.6,0.25,5.43,5.43,1.85,1.85,0,0.01,2.8,26,68,22,6,27,0.27,0,0,100,0.25,2,0,0,81,14,0,2.32,0,0.06,0.01,0.6,0.6,1.2,0.03,0,5,0.1,0,0
"Jam, fruit with edible seeds",Mixed Fruit Jam with Seeds,🍓,TRUE,29.8,0.1,0.6,0,69,261,1114,0,0,69,27.4,0,14.9,18.7,8,0,0,N,N,0,0,0,0,0,0,0,0,0,0,29,43,12,5,10,0.2,0.01,0.1,9,0.13,0,7,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,10
"Jam, reduced sugar",Reduced Sugar Jam,🍓,TRUE,65.3,0.08,0.5,0.1,31.9,123,523,0,0,31.9,10.4,0,15,6.5,0,0,0,0.8,1.7,0,0,0,0,0,0,0,0,0,0,20,123,19,7,15,0.36,0.05,0,0,0.1,0,2,0,26,4,0,0.14,0,0,0,0,0,0,0,0,0,0,0,26
"Jam, stone fruit",Stone Fruit Jam,🍓,TRUE,29.6,0.06,0.4,0,69.3,261,1116,0,0,69.3,27.5,0,14.9,18.8,8,0,0,N,1,0,0,0,0,0,0,0,0,0,0,46,67,10,3,6,0.2,0.02,0,4,0.02,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
"Jambu fruit, flesh only",Jambu Fruit,🍎,TRUE,85.3,0.11,0.7,0.3,12.4,55,234,0,0,N,N,0,N,N,0,0,0,N,0,0.1,0,0,0,0.1,0,0.1,0,0,0,26,55,11,35,12,1.1,0.23,N,8,N,N,N,0,N,N,0,N,0,0.01,0.02,0.4,N,N,N,0,N,N,N,12
"Jellabi, homemade",Homemade Jellabi,🥮,TRUE,25.4,0.74,4.2,14.9,57.5,369,1551,39.2,0,N,N,0,N,N,N,0,0,1.5,1.6,1.12,0,0,0,8.54,0,4.27,0,0,0,2,91,43,12,57,0.99,0.1,N,58,N,N,N,0,0,0,0,N,0,0.09,0.02,0.8,0.9,1.7,0.07,0,N,N,N,0
"Jelly, made with water",Plain Jelly,🥮,TRUE,84,0.21,1.2,0,15.1,61,260,0,0,15.1,3.5,0,1.7,8.6,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7,0,1,0.4,0.01,N,6,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jelly, sugar free, made with water",Sugar-Free Jelly,🥮,TRUE,98.4,0.26,1.6,0,0,6,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7,0,1,0.4,0.01,N,6,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jujube, flesh only",Jujube,🍛,TRUE,76.7,0.23,1.5,0.3,19.7,87,371,0,0,19.7,N,0,N,N,0,0,0,N,0,0.1,0,0,0,0.1,0,0.1,0,0,0,4,240,30,10,22,0.6,0.07,0.1,N,0.1,N,N,0,24,4,0,N,0,0.03,0.03,0.8,0.2,1,0.08,0,N,N,N,57
"Kalabasu, raw",Raw Kalabasu,🍛,TRUE,81,2.35,14.7,1,0,68,287,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,N,0,N,0,0,N,N,N,320,N,380,0.8,N,N,N,N,N,N,0,0,0,0,N,0,N,N,0.6,2.7,3.3,N,N,N,N,N,0
"Katla, raw",Raw Katla,🍛,TRUE,73.7,3.12,19.5,2.4,0,100,420,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,N,0,N,0,0,N,50,150,530,N,240,0.9,0.12,N,N,N,N,N,0,0,0,0,N,0,N,N,0.8,3.6,4.4,N,1,N,N,N,0
Khadhi,Khadhi,🍛,TRUE,85.3,0.54,3.4,2.8,6.6,63,267,2,0,4.5,0,0,0,1.2,0,2,0,0.5,N,1.6,0,0,0,0.75,0,0.24,0,0.07,7.9,37,179,97,15,91,0.66,0.03,0.5,76,0.11,1,N,24,41,31,0,0.22,0,0.04,0.13,0.2,N,0.2,N,0.1,N,N,N,1
Khatiyu,Khatiyu,🍛,TRUE,54.6,1.36,8.5,7,25.8,192,813,19.9,0,3.8,N,0,N,N,0,0,0,N,0.1,0.54,0,0,0,3.77,0,2.18,0,0,0,25,526,61,46,120,1.83,0.45,1,26,0.49,N,N,0,47,8,0,N,0,0.13,0.04,0.6,0.8,1.4,N,0,16,N,N,0
"Khichadi, with vegetable oil",Khichadi with Oil,🍛,TRUE,61,0.79,4.8,5.2,27,169,712,26.6,0,0.2,0,0,0,0.1,0,0,0,1.4,0,0.76,0,0,0,2.46,0,1.64,0,0,0,495,203,24,28,83,0.98,0.16,0.8,752,0.41,5,N,0,3,1,0,N,0,0.11,0.03,1.2,0.9,2.1,0.1,0,11,0.3,N,0
"Kiwi fruit, flesh only, raw",Kiwi Fruit,🥝,TRUE,85.4,0.13,0.8,0.9,8.6,44,185,0.3,0,8.3,3.6,0,4.5,0,0.2,0,0,1.9,2.7,0.07,0.12,0.4,0.1,0.1,0.52,0.52,0,0,0,1,289,33,13,33,0.22,0.17,0.1,33,0.08,0,2,0,40,6.666666667,0,2.17,0,0,0,0.3,0.26,0.56,0.09,0,33,0.42,N,71
"Kiwi fruit, flesh only, raw, weighed with skin",Kiwi Fruit,🥝,TRUE,62.3,0.09,0.6,0.7,6.2,32,134,0.2,0,6,2.6,0,3.3,0,0.1,0,0,1.4,2,0.05,0.08,0.29,0.07,0.07,0.38,0.38,0,0,0,1,211,24,10,24,0.16,0.12,0.1,24,0.06,0,1,0,29,5,0,1.58,0,0,0,0.2,0.2,0.4,0.07,0,24,0.31,N,52
"Knickerbocker glory, homemade",Homemade Knickerbocker Glory,🍛,FALSE,74,0.42,2.4,6.3,16.4,128,539,0.1,0,14.1,2.5,0,1.2,8,0.4,2,0,1.3,N,2.83,0,0,0,2.37,0,0.76,0,0.06,8.6,30,186,48,22,62,0.52,0.08,0.3,55,0.18,N,N,17,46,24,0,1.28,2.13,0.07,0.15,0.5,0.5,1,0.02,0.2,13,0.28,3.5,17
"Kohl rabi, boiled in unsalted water",Boiled Kohlrabi,🍛,TRUE,92.9,0.19,1.2,0.2,3.1,18,77,0.1,0,3,1.3,0,1.1,0.6,0,0,0,1.9,N,0,0,0,0,0,0,0.1,0,0,0,3,240,21,6,30,0.2,0.01,0.1,29,0.1,N,1,0,0,0,0,0,0,0.08,0.01,0.2,0.2,0.4,0.11,0,47,0.11,N,27
"Kohl rabi, raw",Raw Kohlrabi,🍛,TRUE,91.7,0.26,1.6,0.2,3.7,23,95,0.1,0,3.6,1.5,0,1.3,0.8,0,0,0,2.2,0,0,0,0,0,0,0,0.1,0,0,0,4,340,30,10,35,0.3,0,0.1,34,0.1,N,1,0,0,0,0,0,0,0.11,0,0.3,0.2,0.5,0.1,0,82,0.17,N,43
"Kulfi, homemade",Homemade Kulfi,🍛,TRUE,38.3,0.95,5.7,42.4,13.8,457,1890,0.2,0,13.6,3.6,0,4.4,0.3,0,5.2,0,0.5,N,24.22,0,0,0,12.69,0,2.06,0,1.31,100.5,55,245,158,33,161,0.33,0.08,0.8,107,0.17,3,51,539,333,595,0.2,2.67,0,0.05,0.36,0.4,1,1.4,0.07,1.1,13,0.64,7.5,1
"Kumquats, whole fruit, raw",Fresh Kumquats,🍊,TRUE,83.4,0.14,0.9,0.5,9.3,43,183,0,0,9.3,2.6,0,3.1,3.6,0,0,0,3.8,0,N,0,0,0,N,0,N,0,0,0,6,180,25,13,49,0.6,0.11,0.1,N,0.1,N,N,0,175,30,0,N,0,0.07,0.07,0.5,0.1,0.6,N,0,N,N,N,39
"Lager, alcohol-free",Alcohol-Free Lager,🍺,TRUE,96.3,0.06,0.4,0,1.5,7,31,0,0,1.2,0.6,0,0.4,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,44,3,7,19,0,0,0,0,0.01,0,N,0,0,0,0,N,0,0,0.02,0.6,0.4,1,0.03,0,5,0.09,0,0
"Lager, extra strong",Extra Strong Lager,🍺,TRUE,88.7,0.05,0.3,0,2.4,60,249,0,0,2.4,1,0,0,0,1.4,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,7,39,5,7,19,0,0,0,20,0.01,0,N,0,0,0,0,N,0,0,0.04,0.7,0.3,1,0.06,0,12,0.03,1,0
"Lager, low alcohol",Low-Alcohol Lager,🍺,TRUE,97,0.05,0.3,0,0.5,16,67,0,0,0.5,0.3,0,0.1,0,0.1,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,10,48,7,14,15,0,0,0,N,0.01,0,N,0,0,0,0,N,0,0,0.03,0.6,0.3,0.9,0.05,0,9,0.19,0,0
"Lager, premium",Premium Lager,🍺,TRUE,93,0.05,0.3,0,0,29,118,0,0,0,0,0,0,0,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,7,39,5,7,19,0,0,0,20,0.01,0,N,0,0,0,0,N,0,0,0.04,0.7,0.3,1,0.06,0,12,0.03,1,0
"Lager, standard",Standard Lager,🍺,TRUE,93,0.05,0.3,0,0,24,98,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,7,39,5,7,19,0,0,0,20,0.01,0,N,0,0,0,0,N,0,0,0.04,0.7,0.3,1,0.06,0,12,0.03,1,0
"Lasagne, homemade",Homemade Lasagne,🍛,TRUE,63.3,1.57,9.6,9.6,15.2,180,756,12.3,0,2.8,0.5,0,0.4,0.3,0.2,1.4,0,0.9,1,4.18,0,0,0,3.38,0,1.14,0,0.31,24.8,235,220,104,19,143,0.8,0.08,1.5,375,0.15,7,15,N,509,N,N,N,0,0.07,0.13,1.6,1.9,3.5,0.13,0.8,9,0.49,2.2,2
"Lasagne, retail, reheated",Retail Lasagne,🍛,TRUE,68.1,1.18,7.4,6.1,15.7,143,603,12.7,0,3,0.6,0,0.7,0.4,0,1.3,0,0.7,1.7,2.8,0.59,0.08,2.03,2.2,0.65,0.7,N,0.28,18,210,230,80,19,120,1,0.1,1.4,325,0.22,N,N,0,N,N,N,N,2.66,0.33,0.12,1.4,1.3,2.7,0.14,1,11,0.38,4,N
"Lasagne, spinach, wholemeal, homemade",Wholemeal Spinach Lasagne,🥬,TRUE,77,0.7,4.2,3.1,13,93,395,10.9,0,2.2,0.5,0,0.4,0.3,0.2,0.7,0,2.3,0,1.3,0,0,0,0.8,0,0.6,0,0,6,130,200,84,32,91,1.1,0.1,0.8,190,0.6,N,5,25,950,183,0.1,0.79,0,0.13,0.06,1,0.9,1.9,0.09,0.1,27,0.24,0.7,5
"Lasagne, vegetable, retail",Retail Vegetable Lasagne,🥦,TRUE,72.6,0.77,4.8,5.3,13.4,117,492,9,0,4.4,0.7,0,0.7,0.2,1.6,1.2,0,N,N,N,0,0,0,N,0,N,0,N,N,210,190,73,18,87,0.8,0.02,0.4,330,0.2,N,N,N,N,N,N,N,0,0.25,0.29,2,1.1,3.1,0.44,N,6,N,N,N
"Lasagne, vegetable, wholemeal, homemade",Wholemeal Vegetable Lasagne,🥦,TRUE,75.5,0.8,4.8,4.6,12.4,106,447,9.4,0,3,0.8,0,0.7,0.3,0.1,1,0,2.1,0,2.2,0,0,0,1.2,0,0.8,0,0,9,110,230,84,27,110,0.9,0.13,0.8,180,0.5,N,N,41,620,144,0.1,0.63,0,0.1,0.07,0.8,1,1.8,0.1,0.1,8,0.28,1.4,3
"Lassi, sweetened",Sweet Lassi,🍛,TRUE,83.3,0.41,2.6,0.9,12.3,65,274,0.2,0.2,11.9,0.1,0.7,0.1,2.3,0.1,8.6,0,0,0,0.59,0.02,0.01,0.19,0.21,0.02,0.03,0,0.02,N,45,109,92,9,74,0,0,0.3,85,0,N,N,9,0,9,0,N,0,N,0.21,N,N,N,N,N,N,N,N,N
Laverbread,Laverbread,🍞,TRUE,87.7,0.51,3.2,3.7,1.6,52,217,1.6,0,0,0,0,0,0,0,0,0,N,0,N,0,0,0,N,0,N,0,0,0,560,220,20,31,51,3.5,0.12,0.8,820,N,N,N,0,N,N,0,1.1,0,0.03,0.1,0.6,0.5,1.1,N,0,47,N,N,5
"Leeks, boiled in unsalted water",Boiled Leeks,🥬,TRUE,92.4,0.19,1.2,0.2,2.5,16,68,0.2,0,2.3,0.7,0,1.3,0.3,0,0,0,1.7,1.9,0.03,0,0,0,0,0,0.11,0,0,0,1,169,42,5,22,0.22,0.03,0.1,41,0.07,0,2,0,51,9,0,0.3,9.5,0.05,0.02,0.4,0.2,0.6,0.08,0,44,0.16,0.7,2
"Leeks, raw",Raw Leeks,🥬,TRUE,90.7,0.24,1.5,0.2,4.1,23,99,0.3,0,3.8,1.6,0,2,0.2,0,0,0,2.2,2.8,0.04,0,0,0,0,0,0.12,0,0,0,0,230,52,7,23,0.42,0,0,59,0.2,1,2,0,20,3,0,0.35,10.1,0.05,0.03,0.3,0.2,0.5,0.17,0,33,0.15,3.035,3.1
"Leeks, roasted in rapeseed oil",Roasted Leeks,🥬,TRUE,87.9,0.27,1.7,1.9,4.5,41,171,0.3,0,4.2,1.8,0,2.2,0.2,0,0,0,2.5,3.1,0.15,0,0,0,1.01,0,0.62,0,0,0,0,258,58,8,26,0.47,0,0,66,0.22,1.1,2.466,0,22,4,0,0.73,0,0.04,0.03,0.34,0.22,0.5,0.14,0,17,0.13,3.4,2
Lemon curd,Lemon Curd,🍋,TRUE,35.9,0.09,0.6,4.9,58.4,266,1126,5.9,0,52.5,21.4,0,9.9,15.6,5.6,0,0,0.2,N,1.52,0.94,0.15,2.02,2.02,1.15,1.15,0,0,21,65,11,9,2,15,0.5,0.3,1.3,150,N,N,N,10,0,10,0.1,N,0,0,0.02,0,0.1,0.1,0,0,0,0.1,1,0
"Lemon curd, homemade",Homemade Lemon Curd,🍋,TRUE,29.1,0.67,4.2,16,50.7,350,1473,0,0,50.7,0.1,0,0.2,50.3,0,0.1,0,0,N,9.1,0,0,0,4.43,0,0.91,0,0.46,145.5,168,85,24,7,63,0.67,0.08,0.4,237,0.01,8,22,193,100,210,1.2,0.71,0,0.03,0.14,0,1.1,1.1,0.05,0.9,14,0.4,6.3,9
"Lemon juice, fresh",Fresh Lemon Juice,🍋,TRUE,91.4,0.05,0.3,0,1.6,7,31,0,0,1.6,0.5,0,0.9,0.2,0,0,0,0.1,N,0,0,0,0,0,0,0,0,0,0,1,130,7,7,8,0.1,0.03,0,3,0,1,N,0,12,2,0,N,0,0.03,0.01,0.1,0,0.1,0.05,0,13,0.1,0.3,36
"Lemon juice, fresh, weighed as whole fruit",Fresh Lemon,🍋,TRUE,32,0.02,0.1,0,0.6,2,11,0,0,0.6,0.2,0,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,2,2,3,0,0.01,0,1,0,0,0,0,4,1,0,N,0,0.01,0,0,0,0,0.02,0,5,0.03,0.1,13
Lemon peel,Lemon Peel,🍋,TRUE,81.6,0.24,1.5,0.3,N,N,N,0,0,N,N,0,N,N,0,0,0,N,10.6,0.1,0,0,0,0,0,0.1,0,0,0,6,160,130,15,12,0.8,N,0.3,N,N,N,N,0,30,5,0,0.25,0,0.06,0.08,0.4,0.2,0.6,0.17,0,11,0.19,N,130
Lemonade,Lemonade,🍋,TRUE,93.8,0,0,0,5.8,22,93,0,0,5.8,1.5,0,1.4,2.8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lemonade, homemade",Homemade Lemonade,🍋,TRUE,83.4,0.01,0,0,16.7,63,268,0,0,16.7,0,0,0.1,16.7,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1,10,4,1,1,0.5,0.02,0,0,0,0,N,0,1,0,0,0,0,0,0,0,0,0,0.01,0,1,0.01,0,4
"Lemons, flesh only, raw, weighed with peel and pips",Fresh Lemon,🍋,TRUE,57,0.08,0.5,0.2,1.4,9,38,0,0,1.4,0.6,0,0.4,0.3,0,0,0,N,0,0.1,0,0,0,0,0,0.1,0,0,0,2,90,17,6,10,0.3,0,0.1,N,N,1,N,0,4,1,0,N,0,0.03,0.01,0.1,0.1,0.2,0.05,0,7,0.12,N,34
"Lemons, peeled, flesh only",Fresh Lemon,🍋,TRUE,89.1,0.13,0.8,0.3,2.2,14,60,0,0,2.2,0.9,0,0.7,0.5,0,0,0,N,0,0.1,0,0,0,0,0,0.1,0,0,0,3,140,27,9,16,0.4,0,0.1,N,N,1,N,0,7,1,0,N,0,0.05,0.02,0.2,0.1,0.3,0.08,0,11,0.19,N,53
"Lemons, whole, without pips",Whole Lemon,🍋,TRUE,86.3,0.16,1,0.3,3.2,19,79,0,0,3.2,1.4,0,1.4,0.4,0,0,0,N,N,0.1,0,0,0,0,0,0.1,0,0,0,5,150,85,12,18,0.5,0.26,0.1,5,N,1,N,0,18,3,0,N,0,0.05,0.04,0.2,0.1,0.3,0.11,0,N,0.23,0.5,58
"Lentil and nut roast, homemade",Homemade Lentil and Nut Roast,🥜,TRUE,51.6,1.83,10.6,12.1,18.8,222,929,15.4,0.6,2.7,N,0,N,N,N,0,0,3.8,0,1.8,0,0,0,5.8,0,3.7,0,0,0,260,370,37,65,180,2.6,0.34,1.6,220,0.8,18,N,0,540,90,0,1.66,0,0.14,0.07,2.2,1.9,4.1,0.21,0,14,N,N,0
"Lentil and potato pie, homemade",Homemade Lentil and Potato Pie,🥔,TRUE,70.1,0.85,5.3,2.2,18.6,111,469,16.6,0,1.4,0.4,0,0.3,0.7,0,0,0,2.3,N,0.4,0,0,0,0.64,0,0.99,0,0.15,0,312,302,16,24,79,1.77,0.18,0.8,501,N,11,N,15,N,N,0.2,N,0,0.17,0.04,0.6,0.8,1.4,0.29,0,27,N,N,3
"Lentil and rice roast, homemade",Homemade Lentil and Rice Roast,🍚,TRUE,66.3,0.84,5.1,1.8,25.2,131,555,23.6,0,1.1,0.3,0,0.2,0.6,0,0,0,1.7,N,0.19,0,0,0,0.81,0,0.58,0,0,0.1,126,143,20,41,119,1.38,0.14,0.8,214,N,9,N,0,N,N,0,N,0,0.12,0.02,1.5,1.2,2.7,0.1,0,15,N,N,0
"Lentil cutlets, fried in vegetable oil, homemade",Fried Lentil Cutlets,🍛,TRUE,55.1,1.36,8.5,8.3,24.2,199,838,20.8,0,1.2,0.1,0,0.2,0.8,0.1,0,0,1.7,N,0.57,0,0,0,4.52,0,2.36,0,0,0,25,352,36,38,120,3.12,0.23,1.1,54,N,2,N,0,39,7,0,N,0,0.22,0.07,0.9,1.1,2,0.22,0,17,0.42,N,7
